LicenseClass,SubClass,LicenseNumber,LicenseDate,LicenseEndDate,LicenseYear,CertificateNumber,LicenseStatus,TradeName,CorpName,Long,Lat,EstablishmentDesc,DayPerWeek,Description,AddrStreet,AddrZip,CityStateZip
LBD7,BWL,80,5/1/2016,4/30/2017,2016,227,Renewed,ROOTS UNLTD.,"JACKSON LOUNGE, INC.",-76.650854,39.289877,Tavern,7 days,"Beer, Wine, & Liquor",2148-52 VINE STREET,21223,"Baltimore, MD 21223"
LBD7,BWL,330,8/22/2013,4/30/2014,2013,TT0892,Transferred,DON'T KNOW,"D & R ENTERPRISES, INC.",-76.611766,39.272912,Tavern,7 days,"Beer, Wine, & Liquor",1453-55 LIGHT STREET,21230,"Baltimore, MD 21230"
LBD7,BWL,308,4/23/2014,4/30/2014,2013,T0840,Transferred,BERMUDA BAR & LIQUORS,"JH CHOO, INC.",-76.592785,39.312196,Tavern,7 days,"Beer, Wine, & Liquor",1801-03 NORTH AVENUE EAST,21213,"Baltimore, MD 21213"
AE,AE,1,7/1/2013,6/30/2014,2013,1272,Renewed,SCORES BALTIMORE,"SCMD, LLC",-76.610414,39.297618,Adult,,,615 FALLSWAY,21202,"Baltimore, MD 21202"
LBD7,BWL,409,5/1/2013,4/30/2014,2013,1122,Renewed,CATCH 22 SALOON,"KIE-BRAN, INC.",-76.544535,39.287539,Tavern,7 days,"Beer, Wine, & Liquor",6000 EASTERN AVENUE,21224,"Baltimore, MD 21224"
LBD7,BWL,325,5/1/2013,4/30/2014,2013,885,Renewed,SOUTHSIDE SALOON,"SOUTHSIDE SALOON, LLC",-76.607303,39.272882,Tavern,7 days,"Beer, Wine, & Liquor",430 FORT AVENUE EAST,21230,"Baltimore, MD 21230"
LBD7,BWL,96,5/1/2016,4/30/2017,2016,277,Renewed,WILSON'S TAVERN,"4537 HARFORD ROAD WILSON'S, LLC",-76.570613,39.341766,Tavern,7 days,"Beer, Wine, & Liquor",4537 HARFORD ROAD,21214,"Baltimore, MD 21214"
AE,AE,3,7/1/2013,6/30/2014,2013,1274,Renewed,JEWEL BOX,"419 E. BALTIMORE ST., INC.",-76.609442,39.289772,Adult,,,419 BALTIMORE STREET EAST,21202,"Baltimore, MD 21202"
LBD7,BWL,230,5/1/2014,4/30/2015,2014,648,Renewed,CENTERSTAGE,"CENTER STAGE ASSOCIATES, INC.",-76.612921,39.298011,Tavern,7 days,"Beer, Wine, & Liquor",700-02 CALVERT STREET NORTH,21202,"Baltimore, MD 21202"
AE,AE,15,7/1/2013,6/30/2014,2013,1286,Renewed,RED ROOSTER,"RED ROOSTER, INC.",-76.539383,39.316041,Adult,,,6412-16 FRANKFORD AVENUE,21206,"Baltimore, MD 21206"
LBD7,BWL,111,5/1/2016,4/30/2017,2016,329,Renewed,CHRIS LIQUOR & GRILL,"1269 WASHINGTON, INC.",-76.635175,39.280771,Tavern,7 days,"Beer, Wine, & Liquor",1269 WASHINGTON BOULEVARD,21230,"Baltimore, MD 21230"
LBD7,BWL,328,5/1/2013,4/30/2014,2013,889,Renewed,BRANNAN'S PUB,"HARFORD ROAD GROUP, LLC",-76.560943,39.352903,Tavern,7 days,"Beer, Wine, & Liquor",5516 HARFORD ROAD,21214,"Baltimore, MD 21214"
LBD7,BWL,27,4/24/2017,4/30/2017,2016,T0079,Transferred,SWALLOW AT THE HOLLOW,"OPI ENTERPRISES, LLC",-76.609934,39.364877,Tavern,7 days,"Beer, Wine, & Liquor",5921-23 YORK ROAD,21212,"Baltimore, MD 21212"
LBD7,BWL,376,5/1/2013,4/30/2014,2013,1014,Renewed,GENTLEMEN'S GOLD CLUB,"GGC-BALTIMORE, LLC.",-76.548498,39.301657,Tavern,7 days,"Beer, Wine, & Liquor",5801 PULASKI HIGHWAY,21205,"Baltimore, MD 21205"
LBD7,BWL,112,2/23/2017,4/30/2017,2016,T0330,Transferred,OPPOSITE SIDEWALK SALOON,"WEHAZIT, INC.",-76.637975,39.28569,Tavern,7 days,"Beer, Wine, & Liquor",132 CAREY STREET SOUTH,21223,"Baltimore, MD 21223"
LBD7,BWL,7,5/1/2016,4/30/2017,2016,19,Renewed,GALLERY,"GALLERY, INC.",-76.617821,39.309574,Tavern,7 days,"Beer, Wine, & Liquor",1733-35 MARYLAND AVENUE,21201,"Baltimore, MD 21201"
LBD7,BWL,95,5/1/2015,4/30/2016,2015,263,Renewed,HARRY ATTMAN'S DELI,HARRY ATTMAN'S DELI LLC.,-76.601888,39.289391,Tavern,7 days,"Beer, Wine, & Liquor",1015-21 LOMBARD STREET EAST,21202,"Baltimore, MD 21202"
LBD7,BWL,255,5/1/2014,4/30/2015,2014,716,Renewed,LIGHTHOUSE TAVERN,"CRP RESTAURANT INVESTMENTS, INC.",-76.569496,39.279145,Tavern,7 days,"Beer, Wine, & Liquor",1224-26 CLINTON STREET SOUTH,21224,"Baltimore, MD 21224"
LBD7,BWL,316,5/1/2013,4/30/2014,2013,869,Renewed,RED ROOSTER,"RED ROOSTER, INC.",-76.539383,39.316041,Tavern,7 days,"Beer, Wine, & Liquor",6412-16 FRANKFORD AVENUE,21206,"Baltimore, MD 21206"
LBD7,BWL,290,5/1/2013,4/30/2014,2013,796,Renewed,STOCKMARKET BAR,"JAMS INVESTMENT, INC.",-76.609046,39.239473,Tavern,7 days,"Beer, Wine, & Liquor",3538 HANOVER STREET SOUTH,21225,"Baltimore, MD 21225"
LBD7,BWL,161,5/1/2016,4/30/2017,2016,466,Renewed,MR.JOE'S BAR & CUTRATE,"MAAN AND JAIYA, INC.",-76.569393,39.292096,Tavern,7 days,"Beer, Wine, & Liquor",1-3 HIGHLAND AVENUE SOUTH,21224,"Baltimore, MD 21224"
LBD7,BWL,442,5/1/2013,4/30/2014,2013,1220,Closed,SECURED CREDITOR,N/A,-76.648148,39.282341,Tavern,7 days,"Beer, Wine, & Liquor",424 PAYSON STREET SOUTH,21223,"Baltimore, MD 21223"
LBD7,BWL,296,5/1/2013,4/30/2014,2013,806,Renewed,J & J DISCOUNT LIQUORS,"GLOBALSCOPE, INC.",-76.674942,39.348508,Tavern,7 days,"Beer, Wine, & Liquor",5117 PARK HEIGHTS AVENUE,21215,"Baltimore, MD 21215"
LBD7,BWL,414,5/1/2013,4/30/2014,2013,1137,Renewed,WESTSIDE INN,N/A,-76.652607,39.283543,Tavern,7 days,"Beer, Wine, & Liquor",328-30 BENTALOU STREET SOUTH,21223,"Baltimore, MD 21223"
